price,rating,title
44.07,1,The Long Haul (Diary of a Wimpy Kid #9)
11.83,5,Old School (Diary of a Wimpy Kid #10)
25.98,4,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction
14.75,5,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened"
43.68,3,Dress Your Family in Corduroy and Denim
25.55,1,Toddlers Are A**holes: It's Not Your Fault
30.89,5,When You Are Engulfed in Flames
31.69,3,Naked
55.5,5,"Lamb: The Gospel According to Biff, Christ's Childhood Pal"
51.07,2,Holidays on Ice
